# Undirected graph (each unordered pair of nodes is saved once): SW-2D_16_1_PL.txt
# Nodes: 256 Edges: 1597
# NodeId	NodeId
99	113
99	115
99	147
99	176
99	195
99	209
100	101
100	116
100	121
100	138
100	245
101	102
101	117
101	131
101	165
102	103
102	118
103	104
103	117
103	119
103	120
103	150
103	169
104	105
104	120
104	122
104	135
104	176
104	187
105	106
105	120
105	121
105	137
105	157
105	172
106	107
106	122
106	123
107	108
107	123
107	129
108	109
108	110
108	111
108	124
108	127
108	143
108	156
108	187
109	110
109	120
109	125
109	135
109	138
109	182
109	187
110	111
110	125
110	126
110	143
110	156
110	254
111	127
111	143
111	206
111	240
112	113
112	127
112	128
112	143
112	144
112	171
112	204
112	243
113	114
113	129
113	143
114	115
114	130
115	116
115	126
115	129
115	131
115	132
115	143
115	192
115	242
116	117
116	130
116	132
117	118
117	122
117	129
117	131
117	133
117	134
117	135
117	163
117	166
117	212
117	238
118	119
118	120
118	134
118	137
118	165
119	120
119	122
119	132
119	135
119	142
119	150
120	121
120	122
120	124
120	133
120	134
120	135
120	136
120	137
120	139
120	142
120	152
120	153
120	156
120	167
120	168
120	185
120	199
120	201
120	239
120	243
121	122
121	137
121	150
121	180
121	248
122	123
122	138
122	139
122	140
122	155
122	156
122	159
122	167
122	170
122	171
122	182
122	198
122	214
123	124
123	126
123	138
123	139
123	156
124	125
124	140
124	171
124	187
125	126
125	135
125	141
126	127
126	142
126	143
126	172
126	174
126	187
126	191
127	128
127	140
127	143
127	149
128	129
128	143
128	144
128	156
128	159
128	176
129	130
129	143
129	145
130	131
130	146
130	161
130	162
130	172
131	132
131	147
131	148
131	149
131	157
131	159
131	160
131	162
131	178
131	195
132	133
132	134
132	135
132	139
132	148
132	150
132	196
133	134
133	138
133	149
133	150
133	165
133	171
134	135
134	136
134	138
134	147
134	150
134	166
134	186
135	136
135	148
135	151
135	169
135	171
135	173
135	174
135	182
135	197
135	201
136	137
136	140
136	142
136	150
136	152
136	156
136	249
137	138
137	143
137	150
137	153
138	139
138	141
138	142
138	153
138	154
138	156
138	157
138	158
138	169
138	170
138	171
138	174
138	187
138	208
138	237
138	250
139	140
139	155
139	171
139	205
140	141
140	143
140	156
140	196
140	198
140	220
140	240
140	249
141	142
141	156
141	157
141	166
141	171
141	173
142	143
142	148
142	158
142	182
142	185
142	199
142	223
143	144
143	145
143	157
143	158
143	159
143	174
143	175
143	176
143	191
143	216
143	220
143	221
143	222
143	234
143	255
144	145
144	156
144	159
144	160
144	161
144	224
145	146
145	156
145	161
145	164
145	174
145	176
146	147
146	160
146	162
147	148
147	163
147	200
148	149
148	153
148	161
148	164
148	166
148	182
149	150
149	165
149	187
150	151
150	165
150	166
150	183
150	187
150	193
150	199
150	214
150	248
150	250
151	152
151	166
151	167
152	153
152	165
152	168
152	199
152	217
153	154
153	160
153	169
154	155
154	156
154	170
154	171
154	254
155	156
155	171
155	173
156	157
156	158
156	159
156	170
156	171
156	172
156	175
156	186
156	188
156	193
156	203
156	209
156	216
156	234
156	250
157	158
157	160
157	173
158	159
158	174
159	171
159	175
159	254
160	161
160	171
160	174
160	175
160	176
160	178
160	190
160	206
161	162
161	171
161	177
161	198
162	163
162	165
162	177
162	178
163	164
163	179
163	182
163	192
164	165
164	166
164	180
165	166
165	167
165	179
165	180
165	181
165	182
165	187
165	195
165	196
165	197
165	198
165	207
165	214
165	215
165	217
165	222
165	227
165	243
166	167
166	182
166	185
166	198
167	168
167	170
167	183
167	184
167	199
167	200
167	205
167	235
168	169
168	170
168	184
169	170
169	171
169	182
169	185
169	187
169	199
169	214
169	250
170	171
170	186
170	234
170	249
171	172
171	173
171	174
171	186
171	187
171	188
171	189
171	191
171	202
171	203
171	209
171	225
172	173
172	188
172	237
173	174
173	175
173	189
173	207
174	175
174	185
174	188
174	190
174	212
175	182
175	191
176	177
176	182
176	191
176	192
176	194
176	239
177	178
177	193
178	179
178	182
178	194
178	197
178	206
178	240
179	180
179	182
179	195
180	181
180	187
180	196
180	198
181	182
181	197
181	198
181	199
181	213
181	215
181	247
182	183
182	185
182	198
182	199
182	202
182	203
182	210
182	214
182	216
182	224
182	226
182	232
182	245
182	246
183	184
183	199
183	204
184	185
184	200
185	186
185	201
185	227
185	234
185	235
186	187
186	202
186	211
186	217
186	249
186	250
187	188
187	197
187	202
187	203
187	219
187	220
187	236
188	189
188	204
188	215
188	234
188	254
189	190
189	205
189	238
190	191
190	206
191	192
191	207
191	220
191	238
192	193
192	207
192	208
192	232
193	194
193	209
193	237
193	240
194	195
194	210
194	215
194	235
195	196
195	211
195	215
196	197
196	200
196	211
196	212
197	198
197	213
198	199
198	214
198	215
198	245
199	200
199	215
199	247
200	201
200	202
200	216
201	202
201	215
201	217
201	244
201	249
202	203
202	218
203	204
203	219
203	235
203	249
204	205
204	220
204	221
204	239
204	253
205	206
205	221
206	207
206	209
206	222
206	223
207	223
207	240
207	255
208	209
208	223
208	224
209	210
209	211
209	225
209	226
209	235
210	211
210	226
211	212
211	215
211	222
211	227
211	228
211	234
212	213
212	228
213	214
213	229
214	215
214	216
214	221
214	229
214	230
214	233
214	239
215	216
215	218
215	231
215	232
215	233
215	247
216	217
216	232
216	248
217	218
217	233
218	219
218	234
218	235
219	220
219	221
219	235
219	252
220	221
220	235
220	236
220	252
220	254
221	222
221	223
221	237
222	223
222	238
223	224
223	239
223	240
224	225
224	233
224	239
224	240
224	244
224	249
224	254
224	255
225	226
225	228
225	240
225	241
226	227
226	239
226	242
227	228
227	231
227	242
227	243
228	229
228	244
229	230
229	245
229	246
230	231
230	246
231	232
231	247
232	233
232	248
233	234
233	235
233	249
234	235
234	248
234	250
235	236
235	238
235	250
235	251
236	237
236	245
236	252
237	238
237	253
238	239
238	240
238	243
238	254
239	240
239	250
239	255
240	241
240	243
240	252
240	254
240	255
241	242
242	243
243	244
244	245
245	246
245	248
246	247
246	248
247	248
247	250
248	249
248	251
249	250
249	252
250	251
250	254
251	252
252	253
253	254
254	255
